employeeId,firstName,middleName,lastName,birthDate,socialSecurity,client,campaign,status,hireDate,terminationDate
65465,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
54654,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
654231,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65432,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
654632,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
864694,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
987626,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65465,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65465656,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65432,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
652165448,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
546654654,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
89984456,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
