employeeId,firstName,middleName,lastName,birthDate,socialSecurity,client,campaign,status,hireDate,terminationDate
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
54654,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
654231,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65432,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
654632,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
864694,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
987626,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65465,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65465656,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
65432,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
652165448,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
546654654,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
89984456,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
75576,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
84879,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
756549,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
45645456,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
4254354,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
7864453,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
45687894,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
4568964,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
4569876,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
456864,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
452826,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
100002,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
564365,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
3953535,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
638983,juan,sebastian,gomez,10/02/95,503970,development,development,active,02/02/15,
